fips_num,fips_str,incidents,killed,injured
51540,51540,24,4,7
51660,51660,5,1,2
36105,36105,26,2,5
48115,48115,3,1,2
12125,12125,2,5,1
1077,1077,36,5,24
51015,51015,11,7,4
37089,37089,24,1,11
42019,42019,21,6,7
21199,21199,19,8,4
21093,21093,21,8,10
1131,1131,5,3,2
54053,54053,9,2,5
5035,5035,10,6,8
13047,13047,13,3,5
37157,37157,43,11,26
29091,29091,3,1,1
36003,36003,7,2,2
12121,12121,4,0,1
21051,21051,9,4,5
12119,12119,15,2,5
42059,42059,9,8,0
37189,37189,9,2,2
22057,22057,39,11,16
47167,47167,12,3,3
24041,24041,3,1,0
46013,46013,10,2,1
36023,36023,11,1,3
50007,50007,62,7,5
13137,13137,9,10,3
23003,23003,16,2,3
39071,39071,1,2,3
20009,20009,8,2,7
21129,21129,2,1,1
5005,5005,13,3,4
53021,53021,32,11,12
28159,28159,5,2,5
6095,6095,107,47,77
48121,48121,42,13,14
20133,20133,2,1,0
37025,37025,42,10,18
51053,51053,9,2,6
8083,8083,4,1,2
45063,45063,86,28,32
19193,19193,49,5,18
49011,49011,14,10,4
18085,18085,16,2,5
55101,55101,128,13,33
51035,51035,9,3,4
56039,56039,9,1,0
34037,34037,5,0,2
17133,17133,2,1,0
51179,51179,29,6,13
1115,1115,11,4,5
25011,25011,16,2,3
45033,45033,28,14,18
51820,51820,8,1,0
55045,55045,5,0,1
54109,54109,8,2,6
29059,29059,4,3,1
45073,45073,14,6,8
22075,22075,10,0,4
48149,48149,2,2,0
6031,6031,24,7,7
48463,48463,3,4,7
17195,17195,12,5,2
19191,19191,2,0,0
48477,48477,4,1,1
28139,28139,5,5,1
28073,28073,17,6,5
4015,4015,47,18,23
37131,37131,10,5,3
48213,48213,17,7,6
28069,28069,7,3,3
21183,21183,5,0,2
28135,28135,1,0,0
29127,29127,10,1,4
46095,46095,1,0,0
19035,19035,1,0,0
1079,1079,5,6,1
4017,4017,12,8,7
47073,47073,15,4,9
21145,21145,43,3,11
51620,51620,6,1,2
22037,22037,8,4,4
13123,13123,3,3,0
33005,33005,19,3,1
12107,12107,39,13,14
6109,6109,7,1,2
47059,47059,34,6,8
1087,1087,12,8,3
40131,40131,20,4,6
40051,40051,15,7,6
49051,49051,3,0,1
17081,17081,22,1,6
27099,27099,26,1,3
22101,22101,27,7,13
45021,45021,29,11,17
27157,27157,2,0,0
48223,48223,5,0,3
33001,33001,25,3,6
28153,28153,12,10,6
4027,4027,31,9,16
29161,29161,6,2,5
37031,37031,10,2,3
13069,13069,21,5,8
51099,51099,5,1,4
16071,16071,2,0,1
34025,34025,88,14,44
27003,27003,36,6,14
51025,51025,1,0,7
27025,27025,5,1,2
22043,22043,2,0,0
19131,19131,2,0,0
13195,13195,32,3,3
50017,50017,8,3,0
34029,34029,56,10,17
23001,23001,28,0,8
47025,47025,4,1,2
54081,54081,49,8,17
55055,55055,7,3,0
20035,20035,10,5,4
28039,28039,9,4,3
47033,47033,5,0,9
20111,20111,3,1,1
9015,9015,24,3,6
40017,40017,14,2,2
6045,6045,13,4,5
22069,22069,26,4,18
31025,31025,6,1,1
26045,26045,18,8,6
17007,17007,11,1,2
1099,1099,1,0,0
53029,53029,5,0,4
31111,31111,10,3,2
47035,47035,7,9,1
46135,46135,5,0,2
26035,26035,9,2,4
51775,51775,2,0,1
51069,51069,6,2,3
35043,35043,18,7,5
29037,29037,12,5,4
19171,19171,3,1,0
5145,5145,20,8,7
6079,6079,17,5,7
37199,37199,4,2,1
45049,45049,15,5,9
13043,13043,4,3,1
48025,48025,5,2,1
38089,38089,20,4,5
39091,39091,2,1,1
13205,13205,6,2,3
47019,47019,18,4,13
36117,36117,10,0,2
47045,47045,22,1,22
45077,45077,31,17,7
36021,36021,13,1,8
1015,1015,46,33,23
19125,19125,4,0,2
30063,30063,37,10,4
37105,37105,27,9,11
48099,48099,16,10,20
29069,29069,9,5,1
28141,28141,8,4,8
9013,9013,16,0,4
20073,20073,1,0,0
42005,42005,7,4,1
49041,49041,6,1,4
39105,39105,3,1,1
27131,27131,6,4,2
27111,27111,3,0,1
48321,48321,4,0,2
39103,39103,14,4,5
40121,40121,13,5,7
13261,13261,16,11,10
51195,51195,10,6,1
40019,40019,23,3,17
42127,42127,4,2,1
5081,5081,5,4,1
47117,47117,3,1,1
21017,21017,6,1,7
13117,13117,26,10,8
18027,18027,2,1,0
22001,22001,34,14,14
48499,48499,8,2,6
37115,37115,2,1,1
28029,28029,14,5,3
1051,1051,29,9,7
49017,49017,1,0,1
18041,18041,4,0,2
51047,51047,7,10,0
29165,29165,57,10,7
28121,28121,33,7,4
24039,24039,10,3,3
6043,6043,2,0,0
16057,16057,9,6,3
37023,37023,24,12,8
1043,1043,17,8,4
5007,5007,35,4,7
13055,13055,5,3,1
28103,28103,7,5,5
28027,28027,13,7,11
51161,51161,9,2,4
47183,47183,7,2,2
19099,19099,7,3,2
55069,55069,6,0,5
31045,31045,2,1,0
1055,1055,38,13,19
5013,5013,2,2,1
21083,21083,20,7,4
34027,34027,28,13,5
23029,23029,3,1,1
37143,37143,3,1,5
29167,29167,4,1,2
48097,48097,3,0,2
6105,6105,4,1,1
16039,16039,2,3,0
6033,6033,9,4,6
24027,24027,32,16,11
48221,48221,2,1,0
26115,26115,18,6,10
4012,4012,4,4,1
40011,40011,1,0,1
48131,48131,1,0,0
19021,19021,5,0,1
36077,36077,10,2,2
31067,31067,4,0,0
16031,16031,2,2,0
47139,47139,2,0,2
29145,29145,13,7,3
2188,2188,6,2,0
37087,37087,7,1,1
40137,40137,2,1,0
40149,40149,5,4,2
13135,13135,108,62,54
37109,37109,19,5,6
13143,13143,2,2,0
51031,51031,13,4,3
28105,28105,15,5,6
48147,48147,5,1,4
39141,39141,23,2,7
45067,45067,25,9,10
54107,54107,20,12,7
51067,51067,11,3,8
4025,4025,23,11,8
17029,17029,9,0,2
47143,47143,4,1,1
18145,18145,5,1,3
32005,32005,4,1,2
18033,18033,5,1,1
55035,55035,24,2,4
40035,40035,1,0,0
1127,1127,14,9,8
24025,24025,38,21,19
19087,19087,3,0,1
48241,48241,5,2,3
41043,41043,40,2,8
13179,13179,18,3,8
27067,27067,4,0,2
45011,45011,5,3,2
39139,39139,20,9,12
20057,20057,1,0,2
27031,27031,2,2,0
55071,55071,7,1,0
1113,1113,27,14,14
27169,27169,9,3,2
45061,45061,7,4,2
47173,47173,5,2,1
1021,1021,10,3,5
34033,34033,32,2,21
2105,2105,2,0,0
20021,20021,2,0,1
39067,39067,2,0,1
